generation,startTime,endTime,org.kevoree.modeling.optimization.executionmodel.impl.ParetoMeanImpl_pareto,org.kevoree.modeling.optimization.executionmodel.impl.MaxImpl_org.kevoree.modeling.genetic.democloud.fitnesses.CloudCostFitness,org.kevoree.modeling.optimization.executionmodel.impl.MinImpl_org.kevoree.modeling.genetic.democloud.fitnesses.CloudCostFitness,
0,1381245674553,1381245674553,56.81818181818181,75.0,75.0,
1,1381245674553,1381245674553,72.22222222222221,77.27272727272727,56.92837465564739,
2,1381245674553,1381245674553,72.22222222222221,57.175361114755056,77.27272727272727,
3,1381245674553,1381245674553,77.77777777777779,57.82522874852419,68.75,
4,1381245674553,1381245674553,58.21838515020332,68.75,77.77777777777779,
5,1381245674553,1381245674553,58.43255608028335,68.75,79.16666666666666,
6,1381245674553,1381245674553,68.75,58.61112750885478,79.16666666666666,
7,1381245674553,1381245674553,68.75,81.25,59.59236849009576,
8,1381245674553,1381245674553,68.75,59.67237854737854,81.25,
9,1381245674553,1381245674553,81.25,59.98623136123136,68.75,
10,1381245674553,1381245674553,61.13158642704096,83.33333333333334,68.75,
11,1381245674553,1381245674553,61.773262932353845,85.0,68.75,
12,1381245674553,1381245674553,64.28571428571429,61.455737023918836,86.36363636363636,
13,1381245674553,1381245674553,64.28571428571429,87.5,61.28126503126503,
14,1381245674553,1381245674553,87.5,62.98809523809523,64.28571428571429,
15,1381245674553,1381245674553,64.28571428571429,88.46153846153845,62.80430806567171,
16,1381245674553,1381245674553,64.28571428571429,88.46153846153845,62.08565172201536,
17,1381245674553,1381245674553,58.333333333333336,61.65817515817516,88.46153846153845,
18,1381245674553,1381245674553,88.46153846153845,64.32790820290819,58.333333333333336,
19,1381245674553,1381245674553,65.46169108669109,58.333333333333336,89.28571428571429,
20,1381245674553,1381245674553,65.47107059607059,58.333333333333336,90.0,
21,1381245674553,1381245674553,90.0,66.64109501609502,50.0,
22,1381245674553,1381245674553,66.882548007548,50.0,90.0,
23,1381245674553,1381245674553,90.625,66.13378982128981,50.0,
24,1381245674553,1381245674553,66.13841945091944,50.0,90.625,
25,1381245674553,1381245674553,66.51720732970732,50.0,90.625,
26,1381245674553,1381245674553,90.625,50.0,66.90733803233802,
27,1381245674553,1381245674553,50.0,66.42583283224994,91.17647058823529,
28,1381245674553,1381245674553,66.42583283224994,91.17647058823529,50.0,
29,1381245674553,1381245674553,50.0,91.17647058823529,67.05015948598836,
30,1381245674553,1381245674553,91.17647058823529,67.2882547240836,50.0,
31,1381245674553,1381245674553,91.17647058823529,67.14726145809034,50.0,
32,1381245674553,1381245674553,66.30028223410575,50.0,91.17647058823529,
33,1381245674553,1381245674553,50.0,91.66666666666666,66.30671915230738,
34,1381245674553,1381245674553,92.10526315789474,67.01954920724272,50.0,
35,1381245674553,1381245674553,50.0,67.01750672358256,92.10526315789474,
36,1381245674553,1381245674553,66.81647383833916,50.0,92.10526315789474,
37,1381245674553,1381245674553,71.08680876656881,92.10526315789474,50.0,
