generation,startTime,endTime,org.kevoree.modeling.optimization.executionmodel.Max_CloudAdaptationCostFitness_CloudAdaptationCostFitness,org.kevoree.modeling.optimization.executionmodel.Min_CloudAdaptationCostFitness_CloudAdaptationCostFitness,org.kevoree.modeling.optimization.executionmodel.ParetoMean_pareto,
0,1383747550843,1383747550843,0.0,0.0,0.0,
1,1383747550843,1383747550843,0.0,0.0,0.0,
2,1383747550843,1383747550843,0.0,0.0,0.0,
3,1383747550843,1383747550843,0.0,0.0,0.0,
4,1383747550843,1383747550843,0.0,0.0,0.0,
5,1383747550843,1383747550843,0.0,0.0,0.0,
6,1383747550843,1383747550843,0.0,0.0,0.0,
7,1383747550843,1383747550843,0.0,0.0,0.0,
8,1383747550843,1383747550843,0.0,0.0,0.0,
9,1383747550843,1383747550843,0.0,0.0,0.0,
10,1383747550843,1383747550843,0.0,0.0,0.0,
11,1383747550843,1383747550843,0.0,0.0,0.0,
12,1383747550843,1383747550843,0.0,0.0,0.0,
13,1383747550843,1383747550843,0.0,0.0,0.0,
14,1383747550843,1383747550843,0.0,0.0,0.0,
15,1383747550843,1383747550843,0.0,0.0,0.0,
16,1383747550843,1383747550843,0.0,0.0,0.0,
17,1383747550843,1383747550843,0.0,0.0,0.0,
18,1383747550843,1383747550843,0.0,0.0,0.0,
19,1383747550843,1383747550843,0.0,0.0,0.0,
20,1383747550843,1383747550843,0.0,0.0,0.0,
21,1383747550843,1383747550843,0.0,0.0,0.0,
22,1383747550843,1383747550843,0.0,0.0,0.0,
23,1383747550843,1383747550843,0.0,0.0,0.0,
24,1383747550843,1383747550843,0.0,0.0,0.0,
25,1383747550843,1383747550843,0.0,0.0,0.0,
26,1383747550843,1383747550843,0.0,0.0,0.0,
27,1383747550843,1383747550843,0.0,0.0,0.0,
28,1383747550843,1383747550843,0.0,0.0,0.0,
29,1383747550843,1383747550843,0.0,0.0,0.0,
30,1383747550843,1383747550843,0.0,0.0,0.0,
31,1383747550843,1383747550843,0.0,0.0,0.0,
32,1383747550843,1383747550843,0.0,0.0,0.0,
33,1383747550843,1383747550843,0.0,0.0,0.0,
34,1383747550843,1383747550843,0.0,0.0,0.0,
35,1383747550843,1383747550843,0.0,0.0,0.0,
36,1383747550843,1383747550843,0.0,0.0,0.0,
37,1383747550843,1383747550843,0.0,0.0,0.0,
38,1383747550843,1383747550843,0.0,0.0,0.0,
39,1383747550843,1383747550843,0.0,0.0,0.0,
40,1383747550843,1383747550843,0.0,0.0,0.0,
41,1383747550843,1383747550843,0.0,0.0,0.0,
42,1383747550843,1383747550843,0.0,0.0,0.0,
43,1383747550843,1383747550843,0.0,0.0,0.0,
44,1383747550843,1383747550843,0.0,0.0,0.0,
45,1383747550843,1383747550843,0.0,0.0,0.0,
46,1383747550843,1383747550843,0.0,0.0,0.0,
47,1383747550843,1383747550843,0.0,0.0,0.0,
48,1383747550843,1383747550843,0.0,0.0,0.0,
49,1383747550843,1383747550843,0.0,0.0,0.0,
50,1383747550843,1383747550843,0.0,0.0,0.0,
51,1383747550843,1383747550843,0.0,0.0,0.0,
52,1383747550843,1383747550843,0.0,0.0,0.0,
53,1383747550843,1383747550843,0.0,0.0,0.0,
54,1383747550843,1383747550843,0.0,0.0,0.0,
55,1383747550843,1383747550843,0.0,0.0,0.0,
56,1383747550843,1383747550843,0.0,0.0,0.0,
57,1383747550843,1383747550843,0.0,0.0,0.0,
58,1383747550843,1383747550843,0.0,0.0,0.0,
59,1383747550843,1383747550843,0.0,0.0,0.0,
60,1383747550843,1383747550843,0.0,0.0,0.0,
61,1383747550843,1383747550843,0.0,0.0,0.0,
62,1383747550843,1383747550843,0.0,0.0,0.0,
63,1383747550843,1383747550843,0.0,0.0,0.0,
64,1383747550843,1383747550843,0.0,0.0,0.0,
65,1383747550843,1383747550843,0.0,0.0,0.0,
66,1383747550843,1383747550843,0.0,0.0,0.0,
67,1383747550843,1383747550843,0.0,0.0,0.0,
68,1383747550843,1383747550843,0.0,0.0,0.0,
69,1383747550843,1383747550843,0.0,0.0,0.0,
70,1383747550843,1383747550843,0.0,0.0,0.0,
71,1383747550843,1383747550843,0.0,0.0,0.0,
72,1383747550843,1383747550843,0.0,0.0,0.0,
73,1383747550843,1383747550843,0.0,0.0,0.0,
74,1383747550843,1383747550843,0.0,0.0,0.0,
75,1383747550843,1383747550843,0.0,0.0,0.0,
76,1383747550843,1383747550843,0.0,0.0,0.0,
77,1383747550843,1383747550843,0.0,0.0,0.0,
78,1383747550843,1383747550843,0.0,0.0,0.0,
79,1383747550843,1383747550843,0.0,0.0,0.0,
80,1383747550843,1383747550843,0.0,0.0,0.0,
81,1383747550843,1383747550843,0.0,0.0,0.0,
82,1383747550843,1383747550843,0.0,0.0,0.0,
83,1383747550843,1383747550843,0.0,0.0,0.0,
84,1383747550843,1383747550843,0.0,0.0,0.0,
85,1383747550843,1383747550843,0.0,0.0,0.0,
86,1383747550843,1383747550843,0.0,0.0,0.0,
87,1383747550843,1383747550843,0.0,0.0,0.0,
88,1383747550843,1383747550843,0.0,0.0,0.0,
89,1383747550843,1383747550843,0.0,0.0,0.0,
90,1383747550843,1383747550843,0.0,0.0,0.0,
91,1383747550843,1383747550843,0.0,0.0,0.0,
92,1383747550843,1383747550843,0.0,0.0,0.0,
93,1383747550843,1383747550843,0.0,0.0,0.0,
94,1383747550843,1383747550843,0.0,0.0,0.0,
95,1383747550843,1383747550843,0.0,0.0,0.0,
96,1383747550843,1383747550843,0.0,0.0,0.0,
97,1383747550843,1383747550843,0.0,0.0,0.0,
98,1383747550843,1383747550843,0.0,0.0,0.0,
99,1383747550843,1383747550843,0.0,0.0,0.0,
