generation,startTime,endTime,ParetoMeanImpl_pareto,MinImpl_CloudRedondencyFitness,MaxImpl_CloudRedondencyFitness,
0,1381391397527,1381391397527,100.0,33.333333333333336,100.0,
1,1381391397527,1381391397527,31.277777777777775,100.0,66.66666666666666,
2,1381391397527,1381391397527,100.0,33.33333333333333,29.0,
3,1381391397527,1381391397527,0.0,100.0,26.666666666666668,
4,1381391397527,1381391397527,26.5,100.0,0.0,
5,1381391397527,1381391397527,26.5,0.0,100.0,
6,1381391397527,1381391397527,26.5,100.0,0.0,
7,1381391397527,1381391397527,26.5,0.0,100.0,
8,1381391397527,1381391397527,100.0,0.0,26.5,
9,1381391397527,1381391397527,26.5,100.0,0.0,
10,1381391397527,1381391397527,26.499999999999996,100.0,0.0,
11,1381391397527,1381391397527,100.0,26.5,0.0,
12,1381391397527,1381391397527,26.5,100.0,0.0,
13,1381391397527,1381391397527,100.0,26.5,0.0,
14,1381391397527,1381391397527,100.0,26.5,0.0,
15,1381391397527,1381391397527,26.5,0.0,100.0,
16,1381391397527,1381391397527,26.5,100.0,0.0,
17,1381391397527,1381391397527,26.5,0.0,100.0,
18,1381391397527,1381391397527,26.499999999999996,100.0,0.0,
19,1381391397527,1381391397527,0.0,26.5,100.0,
20,1381391397527,1381391397527,26.499999999999996,100.0,0.0,
21,1381391397527,1381391397527,26.5,100.0,0.0,
22,1381391397527,1381391397527,26.5,100.0,0.0,
23,1381391397527,1381391397527,100.0,0.0,26.5,
24,1381391397527,1381391397527,100.0,0.0,26.5,
25,1381391397527,1381391397527,0.0,100.0,26.5,
26,1381391397527,1381391397527,100.0,0.0,26.5,
27,1381391397527,1381391397527,100.0,26.5,0.0,
28,1381391397527,1381391397527,100.0,0.0,26.5,
29,1381391397527,1381391397527,100.0,0.0,26.5,
30,1381391397527,1381391397527,26.5,0.0,100.0,
31,1381391397527,1381391397527,26.5,0.0,100.0,
32,1381391397527,1381391397527,0.0,100.0,26.5,
33,1381391397527,1381391397527,26.5,100.0,0.0,
34,1381391397527,1381391397527,0.0,26.5,100.0,
35,1381391397527,1381391397527,26.499999999999996,0.0,100.0,
36,1381391397527,1381391397527,100.0,26.5,0.0,
37,1381391397527,1381391397527,26.499999999999996,0.0,100.0,
38,1381391397527,1381391397527,26.5,0.0,100.0,
39,1381391397527,1381391397527,100.0,0.0,26.5,
40,1381391397527,1381391397527,100.0,26.5,0.0,
41,1381391397527,1381391397527,100.0,0.0,26.5,
42,1381391397527,1381391397527,26.5,0.0,100.0,
43,1381391397527,1381391397527,26.5,0.0,100.0,
44,1381391397527,1381391397527,100.0,0.0,26.5,
45,1381391397527,1381391397527,0.0,26.5,100.0,
46,1381391397527,1381391397527,100.0,26.5,0.0,
47,1381391397527,1381391397527,26.5,100.0,0.0,
48,1381391397527,1381391397527,100.0,0.0,26.5,
49,1381391397527,1381391397527,0.0,100.0,26.5,
50,1381391397527,1381391397527,26.5,100.0,0.0,
51,1381391397527,1381391397527,100.0,26.5,0.0,
52,1381391397527,1381391397527,0.0,100.0,26.5,
53,1381391397527,1381391397527,100.0,26.5,0.0,
54,1381391397527,1381391397527,0.0,26.5,100.0,
55,1381391397527,1381391397527,26.5,100.0,0.0,
56,1381391397527,1381391397527,26.5,100.0,0.0,
57,1381391397527,1381391397527,100.0,26.5,0.0,
58,1381391397527,1381391397527,26.5,100.0,0.0,
59,1381391397527,1381391397527,0.0,100.0,26.5,
60,1381391397527,1381391397527,100.0,0.0,26.5,
61,1381391397527,1381391397527,26.5,0.0,100.0,
62,1381391397527,1381391397527,100.0,26.5,0.0,
63,1381391397527,1381391397527,0.0,100.0,26.5,
64,1381391397527,1381391397527,100.0,26.5,0.0,
65,1381391397527,1381391397527,100.0,0.0,26.5,
66,1381391397527,1381391397527,26.499999999999996,100.0,0.0,
67,1381391397527,1381391397527,26.499999999999996,0.0,100.0,
68,1381391397527,1381391397527,100.0,26.5,0.0,
69,1381391397527,1381391397527,100.0,0.0,26.5,
70,1381391397527,1381391397527,0.0,26.5,100.0,
71,1381391397527,1381391397527,26.5,100.0,0.0,
72,1381391397527,1381391397527,0.0,26.5,100.0,
73,1381391397527,1381391397527,26.5,100.0,0.0,
74,1381391397527,1381391397527,100.0,26.5,0.0,
75,1381391397527,1381391397527,0.0,100.0,26.5,
76,1381391397527,1381391397527,26.5,0.0,100.0,
77,1381391397527,1381391397527,26.5,0.0,100.0,
78,1381391397527,1381391397527,0.0,26.5,100.0,
79,1381391397527,1381391397527,26.5,100.0,0.0,
80,1381391397527,1381391397527,26.5,100.0,0.0,
81,1381391397527,1381391397527,0.0,100.0,26.5,
82,1381391397527,1381391397527,100.0,26.5,0.0,
83,1381391397527,1381391397527,26.5,0.0,100.0,
84,1381391397527,1381391397527,26.5,100.0,0.0,
85,1381391397527,1381391397527,100.0,26.5,0.0,
86,1381391397527,1381391397527,100.0,26.5,0.0,
87,1381391397527,1381391397527,26.5,100.0,0.0,
88,1381391397527,1381391397527,26.5,100.0,0.0,
89,1381391397527,1381391397527,26.5,100.0,0.0,
90,1381391397527,1381391397527,26.499999999999996,100.0,0.0,
91,1381391397527,1381391397527,100.0,0.0,26.5,
92,1381391397527,1381391397527,100.0,0.0,26.5,
93,1381391397527,1381391397527,26.5,0.0,100.0,
94,1381391397527,1381391397527,100.0,26.5,0.0,
95,1381391397527,1381391397527,100.0,0.0,26.5,
96,1381391397527,1381391397527,0.0,100.0,26.5,
97,1381391397527,1381391397527,0.0,26.5,100.0,
98,1381391397527,1381391397527,0.0,100.0,26.5,
99,1381391397527,1381391397527,100.0,26.5,0.0,
